iter	Passed	Remaining
0	31	910
1	61	860
2	91	827
3	127	826
4	177	885
5	222	891
6	266	876
7	311	855
8	357	834
9	400	800
10	444	768
11	495	742
12	533	698
13	575	658
14	616	616
15	660	577
16	698	533
17	726	484
18	758	438
19	788	394
20	821	351
21	855	310
22	900	274
23	940	235
24	982	196
25	1022	157
26	1048	116
27	1075	76
28	1109	38
29	1134	0
